Label,IPLength,IPHeaderLength,IPFlags,TTL,Protocol,IPID,IPchecksum,SourcePort,DestPort,SequenceNumber,AckNumber,WindowSize,TCPHeaderLength,TCPflags,TCPLength,TCPChecksum,TCPStream,TCPUrgentPointer
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0xd9eb,0xecbc,36902,443,9318,9260,406,32,0x0018,38,0x5224,30,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0xd9ec,0xecbf,36902,443,9356,9338,406,32,0x0018,34,0x299d,30,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0xd9ed,0xecba,36902,443,9390,9338,406,32,0x0018,38,0x5b21,30,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd9ee,0xecdf,36902,443,9428,9376,406,32,0x0010,0,0x0baf,30,0
filtered_pcap\TCP_Assistant,1662,20,0x02,64,6,0xdaa9,0xcf15,55637,443,2799,2216,8202,32,0x0018,1610,0x912b,5,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xdaab,0xd55d,55637,443,4409,3315,8202,32,0x0010,0,0x2aa3,5,0
filtered_pcap\TCP_Assistant,198,20,0x02,64,6,0x0ace,0x55a1,58224,443,2066,6278,1597,20,0x0018,158,0x3e77,62,0
filtered_pcap\TCP_Assistant,1500,20,0x02,64,6,0x0acf,0x508a,58224,443,2224,6278,1597,20,0x0010,1460,0xe57d,62,0
filtered_pcap\TCP_Assistant,1500,20,0x02,64,6,0x0ad0,0x5089,58224,443,3684,6278,1597,20,0x0010,1460,0x6b7a,62,0
filtered_pcap\TCP_Assistant,660,20,0x02,64,6,0x0ad1,0x53d0,58224,443,5144,6278,1597,20,0x0018,620,0x8b91,62,0
filtered_pcap\TCP_Assistant,40,20,0x02,64,6,0x0ad2,0x563b,58224,443,5764,6360,1597,20,0x0010,0,0x1cc8,62,0
filtered_pcap\TCP_Assistant,78,20,0x02,64,6,0x6071,0xa5dc,56034,443,729,729,406,32,0x0018,26,0x47cf,3,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x6072,0xa5f5,56034,443,755,755,406,32,0x0010,0,0x251c,3,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x0ad3,0x560c,58224,443,5764,6406,1597,20,0x0018,46,0xc297,62,0
filtered_pcap\TCP_Assistant,77,20,0x02,64,6,0x5b60,0xa1b4,45990,443,702,701,406,32,0x0018,25,0xb268,1,0
